Place of Origin,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Serbia,0,0,0,0,0,0,0,1 074,1 193,1 234,1 175,1 067,1 068,1 041,966,970,1 023,1 055,1 079,1 098,1 044,927,898,863
Slovakia,498,539,627,610,585,609,697,592,536,543,466,419,424,362,356,359,343,348,347,349,331,267,305,296
Slovenia,224,207,225,238,209,306,219,199,210,199,192,178,171,227,188,245,256,245,250,256,260,193,201,212
Spain,4 337,4 156,4 048,3 633,3 631,3 512,3 455,3 575,3 660,3 849,3 971,4 330,4 924,5 033,5 350,6 143,6 640,7 164,7 489,7 262,7 954,5 781,8 165,8 548
Sweden,4 994,4 598,4 041,3 709,3 116,3 106,3 212,2 920,3 292,3 279,3 116,3 236,3 926,4 283,4 369,4 507,4 297,4 053,3 543,3 460,3 213,2 045,2 352,2 732
Switzerland,1 893,1 850,1 680,1 562,1 561,1 361,1 276,1 241,1 296,1 316,1 284,1 287,1 362,1 420,1 441,1 461,1 480,1 487,1 382,1 367,1 340,988,1 301,1 434
Türkiye,10 100,10 983,12 091,11 601,11 398,12 474,11 622,11 506,12 030,13 263,12 397,12 184,11 973,11 278,10 821,10 724,10 691,10 586,10 520,10 159,9 481,8 109,8 467,8 657
Ukraine,1 673,1 909,2 195,2 070,2 004,1 831,1 805,1 692,1 714,1 716,1 727,1 583,1 535,1 490,1 464,1 551,1 680,1 817,1 928,1 953,1 899,1 739,1 835,2 072
United Kingdom,7 990,8 139,8 414,8 326,8 439,8 236,8 274,8 438,8 367,8 701,8 861,8 947,9 186,9 467,10 191,10 743,11 599,11 489,11 460,11 146,10 756,8 028,10 292,10 659
Anguilla,63,65,46,46,62,61,44,49,93,71,65,43,29,15,21,15,18,14,15,19,19,19,18,15
Antigua and Barbuda,287,271,239,215,240,204,226,203,174,189,213,193,183,188,215,120,228,225,200,164,193,186,159,168
Aruba,82,85,64,55,60,70,91,90,68,124,72,94,67,69,74,68,89,73,90,71,73,74,65,58
Bahamas,1 902,1 762,1 973,2 012,2 030,1 638,1 631,1 681,1 542,1 773,1 828,1 720,1 737,1 629,1 744,1 835,2 027,2 252,2 176,2 148,2 500,2 342,2 387,2 606
Barbados,701,647,580,590,569,494,467,440,403,452,360,332,267,293,285,278,319,319,322,333,298,339,269,287
Bermuda,584,609,525,714,633,494,497,476,421,410,429,395,389,406,388,387,319,315,296,280,251,234,235,228
British Virgin Islands,83,84,97,113,145,187,188,138,93,96,122,94,116,112,80,99,95,76,70,81,81,45,35,82
Cayman Islands,249,243,211,203,191,168,223,210,161,164,158,165,181,175,187,174,165,165,169,159,136,120,111,145
Cuba,139,517,163,141,132,190,119,99,82,84,88,62,57,76,69,94,153,119,152,163,130,115,114,113
Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,4,76,75,117,118,128,122,136,74,76,54
Dominica,256,258,232,288,232,319,376,327,228,285,301,256,261,237,191,166,238,271,371,227,576,583,514,459
Dominican Republic,922,869,898,983,998,868,875,961,1 159,1 387,1 400,1 393,1 610,1 803,1 746,1 535,1 513,1 428,1 467,1 559,1 379,1 244,1 300,1 514
Grenada,292,281,185,317,229,210,376,297,238,298,231,189,261,225,189,145,186,194,170,133,161,141,118,129
Guadeloupe,7,10,8,8,5,10,13,10,6,14,14,14,15,11,18,11,11,9,10,8,14,3,2,25
Haiti,1 145,1 012,1 184,910,1 074,1 002,1 029,1 163,872,857,1 012,888,889,934,942,934,946,958,948,967,1 016,1 067,1 015,1 015
Jamaica,3 762,4 225,4 286,4 723,4 994,4 368,4 166,4 110,3 871,3 902,3 530,3 172,2 694,2 499,2 502,2 440,2 510,2 797,2 785,2 820,2 884,2 714,2 651,2 928
Martinique,7,8,13,6,9,16,15,8,5,7,8,8,3,4,7,3,9,9,12,11,8,3,4,5
Montserrat,18,10,6,13,6,13,17,24,16,13,15,8,2,3,1,1,4,3,3,7,4,6,3,4
St. Kitts and Nevis,196,271,146,172,167,196,265,271,239,310,244,217,269,234,190,182,222,218,200,147,216,235,184,186
St. Lucia,231,267,269,331,299,345,342,331,319,331,529,526,352,330,322,275,265,268,229,206,215,216,164,201
St. Vincent and the Grenadines,209,139,131,172,183,175,140,139,126,122,124,105,95,98,105,75,89,83,83,92,91,86,74,93
Trinidad and Tobago,2 762,2 901,2 668,3 127,3 638,2 930,2 924,2 912,2 640,2 475,2 402,1 882,1 689,1 532,1 440,1 464,1 381,1 304,1 257,1 202,1 272,1 180,1 160,1 248
Turks and Caicos,30,48,64,54,78,168,166,199,169,169,146,82,55,29,29,36,44,50,42,37,37,46,40,36
Mexico and Central America,16 854,16 764,18 826,18 856,19 264,19 227,19 709,19 743,20 800,21 430,19 956,20 361,20 432,21 072,22 276,24 709,24 983,25 158,24 002,23 998,23 110,21 224,23 525,23 778
Belize,464,489,542,489,501,449,462,454,490,468,415,388,370,333,324,312,308,356,366,375,388,352,388,370
Costa Rica,821,928,966,951,907,895,896,939,927,1 027,1 089,1 105,1 078,1 074,1 067,1 118,1 148,1 148,1 146,1 157,1 240,1 134,1 315,1 357
El Salvador,1 079,825,917,971,976,962,939,1 031,940,1 184,1 208,1 157,1 151,1 172,1 233,1 460,1 632,1 570,1 554,1 566,1 581,1 492,1 445,1 309
Guatemala,1 044,1 050,1 058,1 045,1 030,1 037,1 006,1 014,1 019,1 094,992,1 042,1 048,1 113,1 252,1 205,1 245,1 217,1 206,1 192,1 195,1 102,1 228,1 289
Honduras,859,974,1 007,985,1 089,1 140,1 042,1 097,1 068,1 226,1 337,1 349,1 407,1 513,1 756,1 760,1 985,2 046,2 104,2 191,2 161,2 021,2 186,2 227
Mexico,10 607,10 670,12 518,12 801,13 329,13 063,13 931,13 826,14 837,14 850,13 450,13 713,13 893,14 199,14 779,17 052,16 733,16 835,15 468,15 229,14 348,12 986,14 500,14 541
Nicaragua,591,611,608,480,473,673,410,409,389,448,383,434,363,434,437,418,395,398,409,443,489,478,553,598
Panama,1 389,1 217,1 208,1 134,958,1 008,1 023,973,1 130,1 133,1 082,1 173,1 122,1 234,1 428,1 384,1 537,1 588,1 749,1 845,1 708,1 659,1 910,2 087
South America,31 415,32 447,35 653,35 199,34 788,32 962,31 205,30 982,30 932,32 961,32 564,32 164,32 602,34 692,39 163,51 191,48 883,43 146,44 629,45 899,45 249,40 451,43 655,46 475
Argentina,2 978,3 172,3 444,3 644,3 644,3 363,3 032,2 813,2 535,2 380,2 165,2 105,1 888,1 847,1 902,2 053,2 201,2 219,2 283,2 407,2 428,2 184,2 718,2 979
